ranking,album_title,artist,rating,num_ratings,num_reviews,release_type
106,Modal Soul,Nujabes,4.03,24000,140,Album
107,Bocanada,Gustavo Cerati,4.07,15000,138,Album
108,Funeral,Arcade Fire,3.93,52000,890,Album
109,Lateralus,Tool,3.98,36000,541,Album
110,Painkiller,Judas Priest,4.05,19000,324,Album
111,Construção,Chico Buarque,4.09,11000,113,Album
112,Aja,Steely Dan,4.02,24000,334,Album
113,Expensive Shit,"Fela Kuti&, The Africa '70",4.07,14000,91,Album
114,The Stone Roses,The Stone Roses,4.0,29000,493,Album
115,Townes Van Zandt,Townes Van Zandt,4.07,14000,108,Album
116,Jane Doe,Converge,4.0,25000,318,Album
117,Artaud,Pescado Rabioso,4.07,13000,127,Album
118,Songs of Love and Hate,Leonard Cohen,4.05,18000,228,Album
119,Quebec,Ween,4.03,22000,209,Album
120,Stratosphere,Duster,3.97,33000,260,Album
121,Powerslave,Iron Maiden,4.01,25000,381,Album
122,First Utterance,Comus,4.03,18000,281,Album
123,Let My Children Hear Music,Charles Mingus,4.08,9000,74,Album
124,None So Vile,Cryptopsy,4.03,17000,252,Album
125,Selling England by the Pound,Genesis,4.01,24000,407,Album
126,Curtis,Curtis Mayfield,4.06,13000,133,Album
127,Sound of Silver,LCD Soundsystem,3.96,33000,279,Album
128,Ram,"Paul McCartney/, Linda McCartney",4.03,17000,288,Album
129,Kalk samen kuri no hana加爾基 精液 栗ノ花,Sheena Ringo椎名林檎,4.04,16000,110,Album
130,"Sign ""☮︎"" the Times",Prince,4.03,16000,240,Album
131,Reign in Blood,Slayer,3.97,30000,678,Album
132,Demon Days,Gorillaz,3.9,50000,345,Album
133,The Velvet Rope,Janet,4.05,12000,95,Album
134,Relationship of Command,At the Drive-In,3.99,26000,304,Album
135,The Fire This Time,,4.06,4000,52,Album
136,Yankee Hotel Foxtrot,Wilco,3.95,34000,444,Album
137,Maggot Brain,Funkadelic,3.99,25000,234,Album
138,Ghosts of the Great Highway,Sun Kil Moon,4.03,14000,125,Album
139,Fresh Fruit for Rotting Vegetables,Dead Kennedys,3.98,25000,332,Album
140,Blackwater Park,Opeth,3.99,23000,329,Album
141,Thick as a Brick,Jethro Tull,4.01,18000,304,Album
